2023-04-01 19:08:46,602 INFO : schoolmistress logged in successfully
2023-04-01 19:10:10,370 INFO : Highlight: {'top_left': [20, 0.5], 'bottom_right': [495.5546875, 30]}
2023-04-01 19:10:10,384 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1284.7265625, 88.5]}
2023-04-01 19:10:10,396 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1427.5078125, 131]}
2023-04-01 19:10:10,408 INFO : Highlight: {'top_left': [20, 101.5], 'bottom_right': [1461.3125, 258.5]}
2023-04-01 19:10:10,420 INFO : Highlight: {'top_left': [20, 229], 'bottom_right': [1450.1796875, 343.5]}
2023-04-01 19:10:10,435 INFO : Highlight: {'top_left': [20, 372.5], 'bottom_right': [1434.8828125, 444.5]}
2023-04-01 19:10:10,442 INFO : Highlight: {'top_left': [20, 415], 'bottom_right': [1435.296875, 487]}
2023-04-01 19:12:30,611 INFO : Highlight: {'top_left': [20, 0.5], 'bottom_right': [495.5546875, 30]}
2023-04-01 19:12:30,618 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1284.7265625, 88.5]}
2023-04-01 19:12:30,625 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1427.5078125, 131]}
2023-04-01 19:12:30,633 INFO : Highlight: {'top_left': [20, 101.5], 'bottom_right': [1461.3125, 258.5]}
2023-04-01 19:12:30,640 INFO : Highlight: {'top_left': [20, 229], 'bottom_right': [1450.1796875, 343.5]}
2023-04-01 19:12:30,647 INFO : Highlight: {'top_left': [20, 372.5], 'bottom_right': [1434.8828125, 444.5]}
2023-04-01 19:12:30,654 INFO : Highlight: {'top_left': [20, 415], 'bottom_right': [1435.296875, 487]}
2023-04-01 19:12:40,430 INFO : Highlight: {'top_left': [20, 0.5], 'bottom_right': [495.5546875, 30]}
2023-04-01 19:12:40,441 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1284.7265625, 88.5]}
2023-04-01 19:12:40,449 INFO : Highlight: {'top_left': [20, 59], 'bottom_right': [1427.5078125, 131]}
2023-04-01 19:12:40,460 INFO : Highlight: {'top_left': [20, 101.5], 'bottom_right': [1461.3125, 258.5]}
2023-04-01 19:12:40,472 INFO : Highlight: {'top_left': [20, 229], 'bottom_right': [1450.1796875, 343.5]}
